2024-08-18 18:22:16 | main_v1.py | <module> | 71 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
2024-08-18 18:22:16 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 310 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 收到消息: 是
2024-08-18 18:22:25 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 386 | ERROR - JSON decode error: Expecting value: line 1 column 1 (char 0)
2024-08-18 19:04:36 | main_v1.py | <module> | 71 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
2024-08-18 19:04:36 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 313 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 收到消息: 调度
2024-08-18 19:04:48 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 327 | DEBUG - 解析消息结果: tasks_id=[], category=, names=[]
2024-08-18 19:04:48 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 381 | WARNING - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 输入了无效的操作和任务ID。
2024-08-18 19:05:36 | main_v1.py | <module> | 71 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
2024-08-18 19:05:36 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 313 | DEBUG - 管理员 17a755177f4ad1f1d99bf8042cfbb74a 收到消息: 你好
2024-08-18 19:05:43 | /home/hezp1/AI/app_weichat/interact/admin_interact.py | adminInteract | 383 | ERROR - JSON decode error: Expecting value: line 1 column 1 (char 0)
2024-08-18 19:06:10 | main_v1.py | <module> | 71 | DEBUG - 处理键 msg_17a755177f4ad1f1d99bf8042cfbb74a 对应的用户ID: 17a755177f4ad1f1d99bf8042cfbb74a
